IT TERM;TARGET HYPOTHESIS (DE SOUTH TYROL);IT EXAMPLE;Context DE
azione reale;actio in Rem;La giurisdizione italiana non sussiste rispetto ad azioni reali aventi ad oggetto beni immobili situati all'estero.;Die mit Ausschließlichkeitsanspruch ausgestattete Zuständigkeit der Gerichte im Belegenheitsstaat oder am Belegenheitsort unbeweglicher Sachen für Klagen wegen dinglicher Rechte (§ 24 ZPO/Art. 16 Nr. 1 GVÜ) ist international allgemein geläufig.
piolo;Leitersprosse;I pioli devono distare almeno 15 centimetri dalla parete alla quale sono applicati o alla quale la scala è fissata.;Teleskopanlegeleitern bestehen aus ineinander geführten Holmsegmenten mit dazwischen liegenden Sprossen oder Stufen. | Der Abstand zwischen den Leitersprossen und der Wand des Schachtes sowie die Breite der Leitern sind so zu bemessen, daß beide Füße nebeneinander sicheren Halt finden.
comodatario;Entleiher;Il comodatario è tenuto a custodire [...] e a conservare la cosa con la diligenza del buon padre di famiglia [...].;Der Entleiher hat die gewöhnlichen Kosten der Erhaltung der geliehenen Sache [...] zu tragen.
bene immateriale;unkörperlich Sache;"Alla categoria dei ""beni immateriali"" potrebbero ricondursi, oggi, anche i cosiddetti ""strumenti finanziari"" [...].";Abgrenzungsprobleme gibt es zu (nach einer natürlichen Betrachtung) unkörperlichen Gegenständen.
appello principale;Hauptberufung;L'appello incidentale perde efficacia in caso di inammissibilità dell'appello principale o di rinuncia allo stesso.;Ist ein Rechtsmittel sowohl als Hauptberufung wie als Anschließung an die Berufung der Gegenseite zulässig, so bestimmt sich die Frist, innerhalb der die Begründung einzureichen ist, nur dann nach § 522 a Abs. 2 ZPO, wenn sich im Zeitpunkt der Einlegung des Rechtsmittels feststellen läßt, daß eine Anschließung gewollt ist.
legittimo impedimento;unabwendbar Verhinderung;L'udienza è rinviata se sussiste un legittimo impedimento dell'imputato che ha manifestato la volontà di comparire.;War jemand ohne Verschulden verhindert, eine Frist einzuhalten, so ist ihm auf Antrag Wiedereinsetzung in den vorigen Stand zu gewähren.
socio unico;Einmanngesellschafter;In caso di inadempimento dell'integrale versamento il socio unico perde il beneficio delle responsabilità limitate.;
emancipazione;Entlassung aus der elterlich Verantwortung;L'emancipazione conferisce al minore la capacità di compiere gli atti che non eccedono l'ordinaria amministrazione.;Ehemündigkeit und Volljährigkeit entsprechen einander. Beide treten mit Vollendigung des 18. Lebensjahres [...] ein. Bei der Ehemündigkeit lässt II [§ 1303, Abs, 2] aber für Minderjährige, die das 16. Lebensjahr vollendet haben, eine Befreiung vom Alterserfordernis zu, eine Möglichkeit, die es seit Aufhebung der Volljährigkeitserklärung [...] bei der Volljährigkeit nich mehr gibt. | Beantragt ein Minderjähriger Befreiung vom Erfordernis des Volljährigkeitsalters, so kann der gesetzliche Vertreter oder ein sonstiger Inhaber des Personensorgerechts diesem Antrag widersprechen.
fotoretinite;Photoretinitis;La fotoretinite è di natura fotochimica e si manifesta tipicamente con uno scotoma all’interno dell’aria irradiata.;Bei zu langer Exposition bzw. zu intensiver Strahlung kann die Netzhaut (Retina) photochemisch geschädigt werden. [...] Eine solche „Blaulichtgefährdung“ [...] kann zu einer Entzündung der Netzhaut (Photoretinitis) führen und die Lichtrezeptoren im „Gelben Fleck“ und der „Sehgrube“ irreparabel schädigen (Makuladegeneration).
proprietario;Eigentümer;Il proprietario non può fare atti i quali non abbiano altro scopo che quello di nuocere o recare molestia ad altri.;Der Eigentümer eines Tieres hat bei der Ausübung seiner Befugnisse die besonderen Vorschriften zum Schutz der Tiere zu beachten.
usura;Wucher;La prescrizione del reato di usura decorre dal giorno dell'ultima riscossione sia degli interessi che del capitale.;Im bürgerlichen Recht zählen wucherische Rechtsgeschäfte zu den sittenwidrigen (§ 138 II BGB)[...]
scioglimento della società;Auflösung der Gesellschaft;La quota deve essere liquidata entro tre mesi dalla domanda, salvo che sia deliberato lo scioglimento della società.;Der Vorstand hat die Auflösung der Gesellschaft zur Eintragung in das Handelsregister anzumelden.
giurisdizione amministrativa;Verwaltungsgerichtsbarkeit;La giurisdizione amministrativa si articola in giurisdizione generale di legittimità, esclusiva ed estesa al merito.;Das zuständige Gericht innerhalb der Verwaltungsgerichtsbarkeit wird durch das nächsthöhere Gericht bestimmt, 1. wenn das an sich zuständige Gericht in einem einzelnen Fall an der Ausübung der Gerichtsbarkeit rechtlich oder tatsächlich verhindert ist, […].
accollo cumulativo;Schuldmitübernahme;Nell'accollo cumulativo l'effetto per il creditore è [...] simile a quello che gli deriva da una garanzia personale.;Bei der im Gesetz nicht geregelten kumulativen Schuldübernahme tirtt durch Vertrag mit dem Gläubiger oder dem schuldner oder kraft Gesetzes nur neben den alten Schuldner ein neuer Schuldner, ohne daß der alte Schuldner befreit wird, so daß sie ohne Mitwirkung des Gläubigers vereinbart werden kann. | Der vertragliche Schuldbeitritt erfolgt entweder durch Vereinbarung zwischen Gläubiger und Neuschuldner oder als echter Vertrag zugunsten Dritter zwischen Alt- und Neuschuldner. | Bei der kumulativen Schuldübernahme (auch Schuldübernahme oder Schuldbeitritt genannt) tritt der Übernehmer dem Schuldner dergestalt an die Seite, dass der Gläubiger seiner Forderung sowohl von dem Altschuldner als auch von de hinzutretenden Neuschuldner verlangen kann.
affare;Geschäft;Se l'affare è concluso per l'intervento di più mediatori, ciascuno di essi ha diritto a una quota della provvigione.;
oggetto di prova;Gegenstand der Beweis;[S]ono oggetto di prova i fatti che si riferiscono all'imputazione, alla punibilità, alla determinazione della pena.;Der Beweis durch Augenschein wird durch Bezeichnung des Gegenstandes des Augenscheins und durch die Angabe der zu beweisenden Tatsachen angetreten. Ist ein elektronisches Dokument Gegenstand des Beweises, wird der Beweis durch Vorlegung oder Übermittlung der Datei angetreten.
pedata;Aufrittstiefe;I gradini devono avere pedata e alzata dimensionate a regola d’arte e larghezza adeguata alle esigenze del transito.;Das Istmaß von Treppensteigung s und Treppenauftritt a innerhalb eines (fertigen) Treppenlaufes darf gegenüber dem Nennmaß (Sollmaß) und nicht mehr als 0,5 cm abweichen [...]. | Das Maß s [Treppensteigung] wird lotrecht von der Vorderkante der Trittfläche einer Stufe zur Vorderkante der Trittfläche der folgenden Stufe im Gehbereich gemessen. | Innerhalb von Gebäuden sollte die Auftrittsfläche [von Treppen] mindestens eine Rutschhemmung der Bewertungsgruppe R 9 aufweisen.
nota di copertura;vorläufig Deckungzusage;Per il tempo necessario all'assicuratore per la verifica della proposta, è prevista la c.d. nota di copertura [...].;Eine Deckungszusage erteilt der Versicherer, wenn zwischen ihm und dem Versicherungsnehmer über den Abschluß eines Versicherungsvertrages soweit Einigung erzielt ist, daß der künftige Abschluß in Aussicht genommen werden kann, während der endgültige Absschluß, namentlich die Ausfertigung der Versicherungspapiere, vielleicht auch die Besprechung minder wesentlicher Einzelheiten mutmaßlich noch eine gewisse Zeit in Anspruch nehmen werden. | Von der vorläufigen Deckungszusage zu unterscheiden ist die formolse oder schriftliche Bestätigung, dass ein Antrag angenommen worden ist: sie ist ein endgültiger Vertragsschluss.
marciapiede;Trottoir;I pedoni devono circolare sui marciapiedi, sulle banchine, sui viali e sugli altri spazi per essi predisposti [...].;Wird ein Radweg zum Bürgersteig hin durch Bordsteine abgetrennt, darf der Radfahrer [...] nicht auf ein gleich hohes Niveau zwischen den beiden Bereichen vertrauen. | Kinder bis zum vollendeten 8. Lebensjahr müssen, ältere Kinder bis zum vollendeten 10. Lebensjahr dürfen mit Fahrrädern Gehwege benutzen.
diritto di veto;Vetorecht;È esatto affermare che il diritto di veto costituisce un particolare atteggiamento del potere di amministrare [...].;Ein Gesellschafter darf das Widerspruchsrecht nur im Interesse der OHG, nicht in seinem - widerstreitenden - eigenen Interesse ausüben.
certificatore accreditato;akkreditiert ZDA;Il certificatore accreditato può qualificarsi come tale nei rapporti commerciali e con le pubbliche amministrazioni.;Akkreditierte Zertifizierungsdiensteanbieter erhalten ein Gütezeichen der zuständigen Behörde. […]. Sie dürfen sich als akkreditierte Zertifizierungsdiensteanbieter bezeichnen und sich im Rechts- und Geschäftsverkehr auf die nachgewiesene Sicherheit berufen.
alzata;Tritthöhe;I gradini devono avere pedata e alzata dimensionate a regola d’arte e larghezza adeguata alle esigenze del transito.;Das Istmaß von Treppensteigung s und Treppenauftritt a innerhalb eines (fertigen) Treppenlaufes darf gegenüber dem Nennmaß (Sollmaß) und nicht mehr als 0,5 cm abweichen [...]. | Baulich ungleiche Stufenmaße kommen insbesondere am Treppenanfang und Treppenende zustande, wenn vorgefertigte Treppen eingebaut wurden, die in ihrer Höhe nicht ausreichend auf den vorhandenen Baukörper abgestimmt sind oder durch Aufbringen von Fußbodenbelägen die ursprüngliche Stufenhöhe verändert wird, besonders auf Podesten.
vitalità;Lebensfähigkeit;[Ai fini del diritto penale] il requisito della vita è sufficiente, non essendo richiesta la vitalità dell'individuo.;Für die Menschqualität nach Beginn der Geburt kommt es nicht auf die Lebensfähigkeit an.
maggiore età;Mündigkeit;Con la maggiore età si acquista la capacità di compiere tutti gli atti per i quali non sia stabilita una età diversa.;
n/c;Kreditanzeige;Note di credito e note di addebito permettono di rettificare le fatture attive e passive già emesse e contabilizzate.;Sofern ein Kreditnehmer bereits im Datenbestand der Deutschen Bundesbank gespeichert ist, kann die derzeitige Zuordnung zu einer Kreditnehmereinheit über die Stammdatensuchmaschine (SDSM) in Erfahrung gebracht werden. Eine Änderung dieser Zuordnung ist entsprechend zu begründen. Allein der Hinweis „konzernfrei“ reicht nicht aus. In diesem Zusammenhang weisen wir daraufhin, dass insbesondere die Übernahme einer Zuordnung zu einer Kreditnehmereinheit aus der SDSM von einem Kreditgeber vor Erstattung der Kreditanzeige stets zu prüfen ist.
possessore attuale;jetzig Besitzer;Il possessore attuale che ha posseduto in tempo più remoto si presume che abbia posseduto anche nel tempo intermedio.;Die Vorschrift [§ 1007 BGB] gibt dem ehemaligen Besitzer, der sich nicht auf die §§ 985, 861, 823 [BGB] oder auf vertragliche Ansprüche stützen kann, gegen den jetzigen Besitzer einen Herausgabeanspruch, wenn dieser eine ihm gegenüber schlechtere Besitzposition innehat.
comitato;Subkommission;Le Commissioni possono istituire nel proprio interno comitati permanenti per l'esame degli affari di loro competenza.;Zur Vorbereitung seiner Arbeiten kann jeder Ausschuß aus seiner Mitte Unterausschüsse mit bestimmten Aufträgen einsetzen, es sei denn, daß ein Drittel seiner Mitglieder widerspricht.
ND;Belastungsanzeige;Note di credito e note di addebito permettono di rettificare le fatture attive e passive già emesse e contabilizzate.;
delitto contro l'amministrazione della giustizia;Rechtspflegedelikt;I delitti contro l'amministrazione della giustizia sono contenuti nel titolo III del secondo libro del codice penale.;Auch bei Rechtspflegedelikten, zum Beispiel falsche Aussage (§ 230 StGB-DDR) und Rechtsbeugung (§ 244 StGB-DDR), stehen die unterschiedlichen Rechtssysteme einer Unrechtskontinuität nicht etwa von vornherein entgegen [...]. Denn es ist beim Normenvergleich weniger auf die fundamentalen Differenzen der Rechtssysteme abzustellen, sondern mehr darauf, ob es in casu nach dem alten und dem neuen Recht (auch) um den Schutz der Funktion der Unparteilichkeit der Rechtspflege und der Wahrheitspflicht vor Gericht geht.
garante;Promittent;Se la garanzia diviene insufficiente, la banca può chiedere un supplemento di garanzia o la sostituzione del garante.;
determinazione del prezzo;Preisbestimmung;Le parti possono affidare la determinazione del prezzo a un terzo, eletto nel contratto o da eleggere posteriormente.;Wird bei den Verhandlungen über den Abschluss eines Kaufvertrages keine Einigung über die Höhe des Kaufpreises erzielt, so kommt vorbehaltlich eines einseitigen Leistungsbestimmungsrechts ein Kaufvertrag wegen dieses Einigungsmangels nicht wirksam zustande. Für eine Bestimmung des Kaufpreises durch ergänzende Vertragsauslegung ist dann kein Raum.
utensile manuale vibrante;vibrierend Handwerkzeug;Tutti i lavoratori che usano macchinari o utensili manuali vibranti rischiano di contrarre la sindrome da vibrazioni.;
patrimonio ereditario;Verlassenschaftsvermögen;[I] creditori dell'eredità e i legatari hanno preferenza sul patrimonio ereditario di fronte ai creditori dell'erede.;Eine Lebensversicherung gehört nur dann zum Erbschaftsvermögen, wenn keine anderweitige Bezugsberechtigung besteht.
cosa depositata;verwahrt Sache;Il depositario non può servirsi della cosa depositata né darla in deposito ad altri senza il consenso del depositante.;Der Verwahrer ist im Zweifel nicht berechtigt, die hinterlegte Sache bei einem Dritten zu hinterlegen [...].
progetto di scissione;Spaltungsplan;Dal progetto di scissione devono risultare i criteri di distribuzione delle azioni o quote delle società beneficiarie.;Der Spaltungsplan tritt an die Stelle des Spaltungs- und Übernahmevertrags.
obbligo di fare buon uso del bene;Verpflichtung zu sorgfältig Gebrauch der Leasinggut;Nell'obbligo del fare buon uso del bene, è compreso l'obbligo di custodirlo e di evitare che esso rechi danni a terzi.;Die Auferlegung der Verpflichtung zum sorgfältigen Gebrauch des Leasinggutes [...] steht nicht im Widerspruch zur Hauptpflicht des Leasinggebers, dem Leasingnehmer den Gebrauch des Leasinggutes zu überlassen.
titolo;Rechtsgrund;Il gestore deve trasmettere tutti i dati necessari per determinare le effettive entrate, percepite a qualsiasi titolo.;Eine Ausgleichung kann nicht verlangt werden, wenn für die Leistungen ein angemessenes Entgelt gewährt oder vereinbart worden ist oder soweit dem Abkömmling wegen seiner Leistungen ein Anspruch aus anderem Rechtsgrund zusteht.
rischio di caduta;Sturz und Absturzgefährdung;Parapetti e arresti al piede dovrebbero essere utilizzati se esiste un rischio di caduta da un’altezza ≥ 500 mm [...].;"Transportbänder für Flaschen und Kästen müssen häufig gereinigt werden. Meist erledigen Beschäftigte das zwischendurch manuell. Gefährlich kann es werden, wenn die Bänder über mehrere Ebenen verlaufen. Mitarbeiter steigen dann zum Reinigen auf die hoch gelegenen Bänder. Wer das macht, geht ein hohes Sturz- und Absturzrisiko ein. | Mechanische Gefährdungen können durch die Anlagentechnik, durch das Arbeitsmaterial und durch die Arbeitsabläufe entstehen. Es wird unterschieden nach - Gefährdungen durch ungeschützt und unkontrolliert bewegte Maschinenteile[;] - Gefährdungen durch Teile mit gefährlicher Oberfläche[;] - Sturz- und Absturzgefährdung[;] - Gefährdungen durch Transport und bewegte Arbeitsmittel."
scissione;Spaltung;Dal progetto di scissione devono risultare i criteri di distribuzione delle azioni o quote delle società beneficiarie.;Die Spaltung kann auch durch gleichzeitige Übertragung auf bestehende und neue Rechtsträger erfolgen.
associato;Mitglied;I contributi degli associati e i beni acquistati conquesti contributi costituiscono il fondo comune dell'associazione.;Der Vorstand hat dem Amtsgericht auf dessen Verlangen jederzeit eine von ihm vollzogene Bescheinigung über die Zahl der Vereinsmitglieder einzureichen. | Besteht der Vorstand aus mehreren Personen, so erfolgt die Beschlußfassung nach den für die Beschlüsse der Mitglieder des Vereins geltenden Vorschriften der §§ 32, 34.
ustione di quarto grado;Verbrennung 4. Grad;[L]e ustioni di quarto grado distruggono tutti gli strati cutanei e si estendono a muscoli, tendini, ossa sottostanti.;"Bei Verbrennungen vierten Grades sind neben tieferen Hautschichten auch die darunter liegenden Muskeln, Sehnen, Knochen und Gelenke betroffen; die Haut ist verkohlt. | Die Wärmewirkung des elektrischen Stromes führt bei großer Stromstärke an der Ein- und Austrittsstelle zu Verbrennungen. Dort entstehen die sogenannten Strommarken. Bei Lichtbögen kann es bis zum Verkohlen von Körperteilen kommen (Verbrennungen 4. Grades)."
maggioranza;Mehrheit;La maggioranza dei soci, determinata secondo la parte attribuita a ciascun socio negli utili, decide sull'opposizione.;Besteht der Vorstand aus mehreren Personen, so wird der Verein durch die Mehrheit der Vorstandsmitglieder vertreten.
fondo dominante;herrschend Grundstück;Il proprietario del fondo dominante non può fare innovazioni che rendano più gravosa la condizione del fondo servente.;Die Grunddienstbarkeit ist Bestandteil des herrschenden Grundstücks und geht mit diesem auf einen Rechtsnachfolger über [...], gleichgültig ob sie bei dem herrschenden Grundstück vermerkt ist oder nicht.
terzo acquirente;Dritterwerber;Il terzo acquirente può liberarsi dall'obbligo di restituire in nautra le cose donate pagando l'equivalente in danaro.;In den Fällen, in denen ein gutgläubiger Erwerb in Frage kommt, kann der Dritterwerber sich auf gutgläubigen Erwerb berufen.
depositario;Aufbewahrer;Il depositario non può servirsi della cosa depositata né darla in deposito ad altri senza il consenso del depositante.;Die Rückgabe hat nur der Gattung nach zu erfolgen, wobei der Verwahrer das Eigentum an den hinterlegten Stücken erwirbt [...].
rigetto;Verwerfung;Il rigetto dell'istanza non impedisce alla parte di proporre domanda di dichiarazione d'inefficacia nei modi ordinari.;"Wird einer Klage auf Räumung von Wohnraum mit Rücksicht darauf stattgegeben, dass ein Verlangen des Beklagten auf Fortsetzung des Mietverhältnisses auf Grund der §§ 574 bis 574b des Bürgerlichen Gesetzbuchs wegen der berechtigten Interessen des Klägers nicht gerechtfertigt ist, so kann das Gericht die Kosten ganz oder teilweise dem Kläger auferlegen, wenn der Beklagte die Fortsetzung des Mietverhältnisses unter Angabe von Gründen verlangt hatte und der Kläger aus Gründen obsiegt, die erst nachträglich entstanden sind (§ 574 Abs. 3 des Bürgerlichen Gesetzbuchs). Dies gilt in einem Rechtsstreit wegen Fortsetzung des Mietverhältnisses bei Abweisung der Klage entsprechend. | Sollte durch die Zustellung des Mahnbescheids eine Frist gewahrt werden oder die Verjährung neu beginnen oder nach § 204 des Bürgerlichen Gesetzbuchs gehemmt werden, so tritt die Wirkung mit der Einreichung oder Anbringung des Antrags auf Erlass des Mahnbescheids ein, wenn innerhalb eines Monats seit der Zustellung der Zurückweisung des Antrags Klage eingereicht und diese demnächst zugestellt wird. | Die Bestimmung des Termins zur mündlichen Verhandlung muss unverzüglich erfolgen. § 522 Abs. 1 der Zivilprozessordnung bleibt unberührt; die Verwerfung der Berufung ohne mündliche Verhandlung ergeht durch Beschluss des Vorsitzenden. § 522 Abs. 2 und 3 der Zivilprozessordnung findet keine Anwendung."
tutela;umfassend Beistandschaft;Se uno degli sposi è soggetto a tutela o a cura, il diritto di fare opposizione compete anche al tutore o al curatore.;Nach der Abschaffung der Entmündigung durch das Betreuungsgesetz von 1992 beschränkt sich das Rechtsisntitut der Vormundschaft im deutschen Recht auf die Sorge für minderjährige Personen.
pegno di titoli di credito;Verpfändung von Wertpapier;Nel pegno di titoli di credito la garanzia non si estende ai premi e alle altre utilità aleatorie prodotte dal titolo.;Das Pfandrecht an einem Wertpapier erstreckt sich auf die zu dem Papier gehörenden Zins-, Renten- oder Gewinnanteilscheine nur dann, wenn sie dem Pfandgläubiger übergeben sind.
lettera;Buchstabe;All'udienza di cui alla lettera a) del comma 2, il giudice [...] conferma, modifica o revoca il decreto presidenziale.;Inhaber von Fahrerlaubnissen auf Probe, die wegen Zuwiderhandlungen nach § 315c Absatz 1 Nummer 1 Buchstabe a, […] an einem Aufbauseminar teilzunehmen haben, sind […] einem besonderen Aufbauseminar zuzuweisen.
promittente;Versprechend;Il promittente può opporre al terzo le eccezioni fondate sul contratto dal quale il terzo deriva il suo diritto [...].;Der Vertrag zugunsten Dritter begründet eine Dreiecksbeziehung zwischen Versprechendem, Versprechensempfänger und Drittem.
collegio delle ostetriche;Hebammengremium;Il Ministero della sanità dà comunicazione delle prestazioni al collegio delle ostetriche della provincia interessata.;Seit Oktober 2008 heißt der ehemalige Bund Deutscher Hebammen nun Deutscher Hebammenverband e.V.
computo del tempo;Zeitberechnung;In particolare nel computo del tempo non viene contato il giorno iniziale, mentre invece è computato il giorno finale.;Grundlage der Zeitberechnung ist der 1582 eingeführte  Gregorianische Kalender. Die gesetzliche Zeit ist die mitteleuropäische Zeit.
quota;Anteil;Ciascun partecipante può disporre del suo diritto e cedere ad altri il godimento della cosa nei limiti della sua quota.;Im Zweifelsfall ist anzunehmen, dass den Teilhabern gleiche Anteile zustehen.
bibliotecario;Bibliothekar;Presso il conservatorio di Bolzano prestano servizio due docenti di madre lingua diversa con funzioni di bibliotecario.;
biosfera;Biosphäre;Lo smaltimento definitivo dei rifiuti in depositi sotterranei deve garantire l'isolamento dei i rifiuti dalla biosfera.;Der Begriff des Ökosystems entstammt einem primär wissenschaftlich-ökologischen Konzept und meint einen definierbaren Ausschnitt aus der Biosphäre [...].
contratto preliminare;Vorvertrag;Il contratto preliminare è nullo, se non è fatto nella stessa forma che la legge prescrive per il contratto definitivo.;Voraussetzung für die Wirksamkeit eines Vorvertrags ist es, daß der Inhalt des zugesagten Hauptvertrages hinreichend bestimmt ist.
contratto definitivo;Hauptvertrag;Il contratto preliminare è nullo, se non è fatto nella stessa forma che la legge prescrive per il contratto definitivo.;Der Vorvertrag will den Hauptvertrag, sowohl was seinen Abschluß als auch was seinen Inhalt anlangt, vorbereiten.
a titolo oneroso;entgeltlich;Quando la cessione è a titolo oneroso, il cedente è tenuto a garantire l'esistenza del credito al tempo della cessione.;[I]st das Kind bei einem Dritten entgeltlich in Pflege, so ist der Beistand berechtigt, aus dem vom Unterhaltspflichtigen Geleisteten den Dritten zu befriedigen.
flacone lavaocchi;Augenspülflasche;[I]l laboratorio chimico è dotato [... di] docce di emergenza, di lavandini lavaocchi o perlomeno di flaconi lavaocchi.;Augenspülflaschen müssen an den Arbeitsplätzen vorhanden sein, bei denen kein Trinkwasser vorhanden ist. Die Augenspülflaschen verfügen nur über einen begrenzten Flüssigkeitsvorrat und können i. d. R. nur ein Auge ausspülen.
formalità;Formalität;La parte a favore della quale è stata eseguita la formalità con riserva deve proporre reclamo all'autorità giudiziaria.;Ordnungswidrig […] handelt, wer als Pflichtiger oder bei der Wahrnehmung der Angelegenheiten eines Pflichtigen der Verordnung (EWG) Nr. 2913/92 des Rates vom 12. Oktober 1992 zur Festlegung des Zollkodex der Gemeinschaften […] zuwiderhandelt, indem er vorsätzlich oder fahrlässig […] 6. entgegen Artikel 49 Abs. 1 in Verbindung mit Abs. 2 eine Förmlichkeit, die erfüllt sein muß, damit eine Ware eine zollrechtliche Bestimmung erhält […] nicht oder nicht innerhalb der […] festgesetzten Frist erfüllt, […]. | Im Bestattungsgewerbe sind zum Zwecke der Meisterprüfung folgende Fertigkeiten und Kenntnisse als Qualifikationen zu berücksichtigen: […] Formalitäten mit Behörden sowie privaten und öffentlich-rechtlichen Dienstleistungseinrichtungen abwickeln, Presse- und Öffentlichkeitsarbeit planen und veranlassen, […].
condebitore;Mitschuldner;Il debitore in solido che ha pagato l'intero debito può ripetere dai condebitori soltanto la parte di ciascuno di essi.;
conservazione del paesaggio;Landschaftspflege;Il Ministero e le regioni definiscono d'intesa le politiche per la conservazione e la valorizzazione del paesaggio […].;Die Landschaftsplanung hat die Aufgabe, die Ziele des Naturschutzes und der Landschaftspflege für den jeweiligen Planungsraum zu konkretisieren […].
eredità;Verlassenschaft;In mancanza di figli legittimi o naturali, di ascendenti, di fratelli o sorelle, al coniuge si devolve tutta l'eredità.;Wer durch Verfügung von Todes wegen als Erbe berufen ist, kann, [...] die Erbschaft als eingesetzter Erbe ausschlagen und als gesetzlicher Erbe annehmen. | Die Erbschaft wird im Gesetz auch Nachlass genannt.
unità dello Stato;staatlich Einheit;Alla stessa [pena dell'ergastolo] soggiace chiunque commette un fatto diretto a disciogliere l'unità dello Stato [...].;Im Sinne dieses Gesetzes [dStGB] beeinträchtigt den Bestand der Bundesrepublik Deutschland, wer ihre Freiheit von fremder Botmäßigkeit aufhebt, ihre staatliche Einheit beseitigt oder ein zu ihr gehörendes Gebiet abtrennt.
ordinanza di archiviazione;Einstellungsbeschluss;L' ordinanza di archiviazione è ricorribile per cassazione solo nei casi di nullità previsti dall'articolo 127 comma 5.;Das Grundbuchamt kann jederzeit das Verfahren einstellen, wenn es sich von seiner Fortsetzung keinen Erfolg verspricht. Der Einstellungsbeschluß ist unanfechtbar.
debitore in solido;Solidarschuldner;Il debitore in solido che ha pagato l'intero debito può ripetere dai condebitori soltanto la parte di ciascuno di essi.;Kann von einem Gesamtschuldner der auf ihn entfallende Beitrag nicht erlangt werden, so ist der Ausfall von den übrigen zur Ausgleichung verpflichteten Schuldnern zu tragen.
collocamento;Stellenvermittlung;Originariamente, il collocamento costituiva una pubblica funzione esercitata direttamente e esclusivamente dallo Stato.;Die Erlaubnis zur Arbeitsvermittlung wird von der Bundesanstalt für Arbeit (Bundesanstalt) auf Antrag erteilt. | Deutsche und ihnen gleichgestellte ausländische Arbeitnehmer seien bei der Stellenvermittlung bevorrechtigt.
forma;Form;Il contratto preliminare è nullo, se non è fatto nella stessa forma che la legge prescrive per il contratto definitivo.;Einer besonderen Form bedarf der Vertrag nur, wenn Gesetz oder Parteiwille sie verlangt.
diritto al silenzio;Aussageverweigerungsrecht;Generalmente il difensore consiglia all'imputato di avvalersi del diritto al silenzio piuttosto che affermare il falso.;Außer über sein Schweigerecht ist der Beschuldigte nach § 136 Abs. 1 S. 2 über seine Befugnis zu belehren, schon vor seiner ersten Vernehmung zur Sache einen Verteidiger zu befragen.
legato alternativo;Wahlvermächtnis;Nel legato alternativo la scelta spetta all'onerato, a meno che il testatore l'abbia lasciata al legatario o a un terzo.;
impossibilità;Unmöglichkeit;Se l'impossibilità è solo temporanea, il debitore, finché essa perdura, non è responsabile del ritardo nell'adempimento.;
rappresentante comune;gemeinsam Vertreter;Nel caso di comproprietà di un'azione i diritti dei comproprietari devono essere esercitati da un rappresentante comune.;Steht eine Aktie mehreren Berechtigten zu, so können sie die Rechte aus der Aktie nur durch einen gemeinschaftlichen Vertreter ausüben
versamento;Einzahlung;Se la banca rilascia un libretto di deposito a risparmio, i versamenti e i prelevamenti si devono annotare sul libretto.;Mit der Einzahlung geht das Eigentum an den eingezahlten Noten und Münzen auf das Kreditinstitut über.
prova della filiazione;Beweis der Abstammung;Quando mancano l'atto di nascita e il possesso di stato, la prova della filiazione può darsi in giudizio con ogni mezzo.;
detonazione;Detonation;Le deflagrazioni possono trasformarsi in detonazioni, in presenza di turbolenza o di ostacoli sul percorso della fiamma.;Der Unterschied zwischen Deflagration und Detonation liegt in der Ausbreitungsgeschwindigkeit (Deflagration unter, Detonation über Schallgeschwindigkeit).
strada senza uscita;Sackgasse;Il segnale STRADA SENZA USCITA [...], posto all'inizio di una strada, indica che la stessa è senza uscita per i veicoli.;Mündet ein Radweg am Wendekopf über einen abgesenkten Bordstein in die Sackgasse ein, handelt es sich um die Zufahrt aus einem anderen Straßenteil, nicht um eine Einmündung. Infolgedessen muss der Radfahrer den Vorrang des Verkehrs in der Sackgasse beachten. Er kann sich nicht auf die besonderen Sorgfaltspflichten beim Wenden berufen, weil bei der Umrundung des Wendekopfes einer Sackgasse weder Mit- noch Gegenverkehr durchquert wird [...].
piantagione;Anpflanzung;Qualunque piantagione, costruzione od opera esistente sopra o sotto il suolo appartiene al proprietario di questo [...].;Für bauliche Anlagen, Anpflanzungen und für sonstige Einrichtungen ist nur eine Geldabfindung zu gewähren und im Falle der Zuteilung ein Ausgleich in Geld festzusetzen, soweit das Grundstück wegen dieser Einrichtungen einen über den Bodenwert hinausgehenden Verkehrswert hat.
negozio a titolo oneroso;entgeltlich Rechtsgeschäft;Nei negozi a titolo oneroso arricchimento e diminuzione patrimoniale sono collegati e simmetrici (es. vendita, permuta).;Neben entgeltlichen Rechtsgeschäfte (zB Kauf, Miete) gibt es unentgeltliche Rechtsgeschäfte (zB Schenkung, Leihe, Auftrag).
estinzione della società;Erlöschen der Gesellschaft;[L]a dichiarazione di fallimento della società [...] determina lo scioglimento, ma non l'estinzione della società [...].;"Nach der Beendigung der Liquidation ist das Erlöschen der Firma von den Liquidatoren zur Eintragung in das ""Firmenbuch"" anzumelden."
pericolo di inciampo;Stolpergefahr;I grigliati utilizzati per i calpestii, devono essere a maglie fitte per non costituire ostacolo o pericolo di inciampo.;Im Gehbereich umherliegende Versorgungsleitungen, die eine Stolpergefahr darstellen, sollten in einer Höhe ≥ 2,0 m verlegt oder mit sicheren Kabelbrücken [...] überdeckt werden.
